# Task	= 2:ERROR
# Var	= 6:N_OF_PART
# VarMin	= 500
# VarMax	= 3000
# nIter	= 100
# KappaInterval	= 1e-05
# tMax	= 10000
# N	= 10000
# dt	= 0.01
# Lx	= 100
# Ly	= 100
# Lz	= 150
# nyu	= 0.1
# eta	= 0.1
# Ha	= 509296
# r	= 1e-08
# myu	= 140000
# RoPart	= 8000
# RoEnv	= 1000
# Gravitation	= 1
# ThermalBath= 0
# Hx	= 1
# Hy	= 1
# Hz	= 0
# ContainerForm	= BARREL
# FieldType	= ROTATING
# RotatingFieldFrequency	= 0.001
# Epsilon	= 0.005
# EpsilonWall	= 0.0001
# Sigma	= 2.1
# SigmaWall	= 1
1	-3.2777e-07	2.87112e-08	1.65131e-09	-7.59651e-11	-1.27993e-09	435	1339	2170	2982	3074	
101	-3.23495e-05	1.04188e-06	3.39721e-07	-9.29176e-06	-2.99881e-05	456	1304	2210	2928	3102	
201	2.00909e-05	-3.03226e-05	-4.33321e-05	-6.01588e-05	-9.68407e-05	484	1255	2277	3152	2832	
301	-6.01688e-05	-4.58442e-05	-6.73068e-05	-9.67289e-05	-0.00014959	451	1371	2203	3430	2545	
401	-7.38529e-05	-5.49452e-05	-5.76122e-05	-0.000125633	-0.00018618	478	1263	2426	3420	2413	
501	-9.12738e-05	-4.01473e-05	-6.08856e-05	-0.000141614	-0.0001961	435	1321	2502	3429	2313	
601	-5.818e-05	-6.43766e-05	-7.40972e-05	-0.000135995	-0.000215161	391	1272	2565	3595	2177	
701	0.000142619	-5.29955e-05	-6.97462e-05	-0.00014449	-0.000228487	370	1299	2552	3631	2148	
801	-2.18711e-05	-1.39067e-05	-7.13942e-05	-0.000134927	-0.000222439	411	1311	2507	3659	2112	
901	0.000106852	1.22278e-05	-5.61867e-05	-0.000140157	-0.000230315	404	1302	2439	3790	2065	
1001	4.6812e-05	-1.92091e-07	-7.1114e-05	-0.000141532	-0.000236618	441	1275	2558	3593	2133	
1101	0.000129135	-1.6797e-05	-5.45398e-05	-0.000141853	-0.000230667	417	1325	2582	3570	2106	
1201	1.28289e-05	-1.49075e-05	-6.94455e-05	-0.000143222	-0.00023461	407	1319	2566	3627	2081	
1301	7.94006e-06	-2.51979e-06	-7.63688e-05	-0.000151212	-0.000228491	399	1305	2586	3674	2036	
1401	-1.26993e-05	-2.87682e-05	-6.69454e-05	-0.000145427	-0.000230723	398	1349	2586	3554	2113	
1501	9.1771e-05	-9.02324e-06	-7.03051e-05	-0.000140013	-0.000226614	378	1392	2522	3499	2209	
